Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Возраст,Стаж работы (лет),Уровень образования,Пол,Отдел,Зарплата,Премия
6.4,50,198,15,25,4,24,54,22,High School,Female,Sales,103903,48300.0
6.1,57,117,11,18,0,3,25,5,PhD,Male,IT,87407,64300.0
4.3,42,176,15,9,2,23,54,23,Bachelor,Male,HR,52634,22700.0
8.9,56,282,43,0,13,12,63,27,Master,Female,Sales,101090,39600.0
2.9,72,148,40,24,11,21,40,22,High School,Male,Finance,91081,60400.0
2.2,80,140,4,18,13,1,55,18,High School,Male,Finance,66091,32400.0
7.5,16,83,37,18,14,14,54,4,PhD,Female,IT,64308,41800.0
9.7,87,123,0,21,14,20,21,16,High School,Female,IT,54109,29000.0
5.2,50,80,39,29,3,7,44,8,Master,Male,HR,106276,94900.0
8.8,90,159,18,14,12,23,58,15,Bachelor,Female,Marketing,101989,36600.0
4.3,49,106,16,10,13,1,47,4,PhD,Male,Marketing,86844,27300.0
5.3,47,273,21,29,15,10,54,23,Bachelor,Female,Finance,36133,49200.0
8.9,0,288,48,12,6,25,40,24,High School,Male,Marketing,49757,46800.0
8.7,56,166,2,10,19,14,61,7,PhD,Female,Finance,56500,10000.0
1.8,78,154,1,2,2,17,52,29,PhD,Female,IT,43297,10000.0
8.2,97,283,27,25,6,11,53,7,Bachelor,Female,Marketing,60077,87000.0
8.0,97,198,40,3,19,17,31,8,Bachelor,Male,Sales,102143,34600.0
5.3,91,298,27,29,19,17,61,30,High School,Male,Sales,39499,53400.0
1.1,47,263,23,14,14,16,62,20,PhD,Male,Finance,89416,16300.0
5.7,99,211,42,21,7,18,43,33,PhD,Male,Marketing,104440,82600.0
5.6,4,184,33,27,5,16,38,33,Master,Male,Marketing,85107,59900.0
1.5,6,288,43,2,2,4,40,0,Bachelor,Male,HR,56400,42800.0
2.7,1,184,38,2,4,10,29,21,Bachelor,Male,Finance,47372,28700.0
5.6,97,123,25,23,6,18,36,38,Master,Female,Sales,45615,69800.0
1.4,45,203,28,29,0,8,46,18,High School,Male,Finance,119908,79800.0
5.2,65,174,3,12,13,18,46,21,Master,Male,IT,83582,10000.0
6.0,21,154,40,3,6,20,58,30,High School,Female,Sales,78437,30800.0
1.3,71,209,6,13,6,9,41,17,PhD,Male,Sales,52080,28400.0
9.8,4,126,31,2,20,28,20,37,Bachelor,Male,Finance,85011,10000.0
1.1,32,80,16,24,11,20,24,19,PhD,Female,Marketing,52877,21800.0
7.4,23,162,27,28,15,18,30,26,Bachelor,Male,Finance,98438,42700.0
7.5,15,135,37,18,10,13,45,24,Master,Female,Finance,112226,50500.0
3.5,63,176,18,26,11,15,58,18,High School,Female,HR,48628,45900.0
2.1,77,166,2,4,11,12,32,21,PhD,Female,Finance,50472,10000.0
2.8,36,223,3,3,14,9,38,7,Bachelor,Male,Finance,84760,10000.0
1.1,29,121,6,14,20,2,49,10,Master,Male,Sales,71895,10000.0
4.7,49,272,24,19,16,3,43,22,High School,Female,Marketing,118202,41600.0
9.1,84,255,2,1,8,24,30,28,Bachelor,Female,Sales,52632,10000.0
1.1,30,244,45,0,0,18,60,20,Bachelor,Female,Sales,88160,38200.0
8.1,42,247,12,1,17,5,30,30,Bachelor,Female,Sales,89443,10000.0
8.2,25,150,15,23,16,26,37,22,PhD,Male,Sales,64634,15400.0
8.7,58,94,5,18,16,7,23,22,Master,Male,Sales,74937,27800.0
7.4,77,241,43,27,17,9,42,11,High School,Male,Sales,102285,78400.0
6.5,3,185,23,14,7,16,31,4,PhD,Female,Sales,112840,27900.0
6.4,54,85,29,1,10,16,61,2,PhD,Female,HR,95754,23500.0
1.9,46,156,46,30,15,20,32,35,Master,Male,IT,78956,58600.0
8.7,20,178,12,23,1,20,43,8,Bachelor,Male,Sales,44413,47900.0
1.4,8,172,7,22,19,9,22,37,High School,Female,Sales,40310,10000.0
1.2,87,276,21,5,2,12,34,37,High School,Male,HR,53140,41000.0
3.7,93,179,17,30,12,17,49,4,PhD,Female,Sales,106290,56300.0
9.3,50,282,24,13,13,14,58,5,PhD,Male,HR,78260,37100.0
4.8,43,294,6,5,15,27,45,40,PhD,Female,Finance,106054,10000.0
3.6,100,250,23,29,17,16,24,4,High School,Female,Sales,118517,53700.0
2.3,35,284,32,0,9,22,36,19,PhD,Female,HR,38831,10000.0
1.9,88,115,42,9,5,26,36,11,PhD,Female,HR,36752,49700.0
6.0,68,88,13,12,18,14,45,20,High School,Female,HR,36754,13400.0
3.3,53,268,25,13,17,11,27,14,High School,Male,Sales,119262,22000.0
8.2,59,241,14,16,5,2,38,2,Master,Male,HR,47204,60100.0
5.9,27,289,27,17,18,0,48,14,PhD,Male,Sales,86642,36400.0
7.9,26,185,32,24,6,20,55,9,PhD,Male,IT,114646,59600.0
5.1,44,91,50,4,4,4,61,17,Bachelor,Male,IT,72223,67400.0
9.9,63,134,6,28,12,27,62,22,Master,Male,IT,115204,35700.0
1.1,84,245,30,28,16,11,37,38,Bachelor,Male,HR,33801,56400.0
7.0,51,123,37,27,14,23,20,17,Master,Female,HR,38273,55800.0
5.2,46,297,4,6,0,19,59,2,PhD,Male,HR,114411,18200.0
5.2,95,120,6,22,7,24,45,15,PhD,Female,Sales,57721,39900.0
5.3,58,197,19,4,13,24,55,24,Bachelor,Female,HR,90645,10000.0
3.2,8,90,46,2,18,14,24,35,High School,Female,Sales,86440,10000.0
4.0,51,266,24,17,14,24,41,2,Master,Male,Finance,84674,20800.0
9.2,31,158,36,19,5,12,27,39,Bachelor,Male,Marketing,107709,70200.0
2.7,13,123,11,1,16,17,29,1,PhD,Male,IT,41770,10000.0
8.3,82,233,37,16,18,13,44,37,High School,Female,Finance,111373,53200.0
5.7,43,256,31,29,13,9,61,25,Master,Male,Marketing,40033,63800.0
7.0,81,108,48,30,6,2,26,32,Bachelor,Male,Sales,57647,117300.0
1.4,42,165,21,0,6,16,48,18,PhD,Male,Sales,106813,10000.0
3.7,91,100,38,30,4,1,42,0,PhD,Male,IT,102715,108700.0
2.5,93,264,29,2,5,18,65,16,PhD,Female,IT,84757,36900.0
9.1,14,188,15,6,10,15,34,6,PhD,Female,IT,30310,11400.0
9.8,23,156,47,7,10,11,47,32,High School,Male,IT,38969,53000.0
5.5,45,264,46,20,3,20,38,27,Bachelor,Female,HR,111176,74500.0
6.5,74,199,15,22,16,11,39,4,Bachelor,Female,IT,55756,40200.0
4.9,0,134,19,5,20,25,50,17,High School,Male,HR,119005,10000.0
2.4,99,149,38,30,5,21,34,15,PhD,Female,IT,108109,86500.0
1.1,67,223,40,1,7,10,63,11,PhD,Female,HR,73400,39800.0
3.7,58,290,36,20,20,0,34,3,Master,Female,Finance,42228,50800.0
3.5,13,151,0,29,18,18,20,10,Master,Male,Sales,34146,10000.0
8.4,77,297,26,22,12,18,34,1,Bachelor,Female,Finance,44894,56900.0
9.1,71,170,36,16,17,21,39,17,High School,Male,HR,95122,44500.0
5.6,0,125,21,4,19,1,41,8,Bachelor,Male,Finance,111472,10000.0
9.7,76,141,16,24,15,7,48,39,PhD,Female,IT,104510,57200.0
5.3,34,95,12,27,19,8,35,23,Master,Male,IT,83428,27300.0
5.4,48,290,9,18,16,16,52,2,Master,Female,IT,56700,13200.0
8.5,87,96,1,16,0,19,59,25,PhD,Female,IT,41814,49100.0
9.7,11,286,32,10,18,4,40,13,PhD,Female,IT,89376,29700.0
6.2,60,183,20,4,20,18,41,12,Master,Male,Finance,38411,10000.0
2.6,15,165,16,0,10,21,27,32,High School,Male,HR,45521,10000.0
3.2,27,221,15,4,12,20,47,15,High School,Female,Finance,51066,10000.0
3.8,47,163,36,28,6,26,62,0,Master,Male,Finance,33992,61700.0
7.2,90,184,34,2,0,25,44,15,PhD,Female,IT,87403,53400.0
1.5,61,212,39,2,19,20,60,3,PhD,Female,Marketing,114635,10000.0
8.0,45,262,7,8,4,19,37,17,Bachelor,Male,Marketing,75698,21500.0
7.7,56,147,4,26,18,13,54,28,High School,Male,HR,37405,26200.0
7.9,63,206,8,17,9,22,65,25,Bachelor,Male,IT,47289,28200.0
4.6,77,114,12,19,18,11,59,33,High School,Female,Marketing,110056,25800.0
9.6,84,88,41,20,10,21,22,26,PhD,Male,Sales,51724,74400.0
1.9,97,195,44,14,19,22,40,36,Master,Female,Marketing,84724,37900.0
8.8,11,135,46,22,18,26,25,1,Bachelor,Male,Finance,100207,37900.0
9.7,55,87,33,2,3,0,55,11,Bachelor,Female,IT,78106,65900.0
9.3,30,217,27,13,20,6,58,15,Master,Female,Sales,33807,28100.0
6.5,48,167,2,7,18,6,31,11,Master,Female,HR,116936,10000.0
3.9,34,135,12,29,8,19,34,25,PhD,Female,IT,49910,38500.0
7.5,73,130,27,30,16,4,20,7,Bachelor,Female,IT,82611,72900.0
1.5,60,204,41,2,9,17,58,13,Bachelor,Male,Finance,104252,30000.0
2.7,80,156,25,2,16,6,54,13,Master,Male,HR,105956,19400.0
2.5,70,142,21,24,7,9,57,11,High School,Male,Finance,55709,60000.0
3.4,40,225,28,9,0,12,59,17,High School,Male,HR,99898,48300.0
8.4,58,262,39,4,2,4,35,13,Master,Male,Marketing,97996,71200.0
8.1,34,83,50,2,3,5,47,29,High School,Male,Finance,34190,68400.0
9.0,81,190,27,17,7,16,20,36,Bachelor,Male,IT,38591,64800.0
4.5,65,268,10,8,6,20,46,20,Master,Female,IT,45565,18500.0
7.9,83,233,1,28,9,7,50,40,Bachelor,Male,Sales,84106,58700.0
3.9,46,186,18,23,5,0,40,16,PhD,Male,Finance,51081,64100.0
5.8,63,237,0,7,10,26,27,22,PhD,Male,Finance,30613,10000.0
6.4,0,91,9,18,17,25,44,37,PhD,Male,Sales,49248,10000.0
1.2,43,147,48,13,15,17,31,23,Bachelor,Female,Finance,72963,35800.0
2.5,9,164,3,1,12,14,21,38,High School,Female,IT,96868,10000.0
1.4,99,170,22,30,1,21,54,8,Bachelor,Female,Sales,109959,76500.0
1.3,15,154,42,18,10,28,23,20,High School,Female,IT,115403,28100.0
8.4,47,224,12,17,4,20,41,1,PhD,Female,Sales,93158,40400.0
4.6,78,217,8,17,20,10,60,24,Master,Female,Marketing,43265,16100.0
2.6,91,236,42,5,6,4,49,18,High School,Female,Marketing,99693,66000.0
3.8,76,246,8,1,2,6,23,5,Master,Female,IT,66144,29900.0
3.1,90,217,47,11,14,23,54,34,High School,Female,IT,41944,45700.0
2.7,44,143,44,30,7,0,35,9,PhD,Male,IT,57256,93600.0
9.5,94,162,18,10,11,4,33,14,Master,Male,Finance,119429,54200.0
4.4,2,219,34,19,12,19,61,1,High School,Female,Marketing,110693,28900.0
8.4,50,222,49,0,12,18,20,29,PhD,Male,Finance,51175,38800.0
8.4,24,217,18,2,1,14,42,16,PhD,Male,Marketing,81422,29000.0
9.2,65,282,20,0,7,5,63,4,Master,Male,Sales,58183,38900.0
6.8,72,100,3,15,20,7,49,4,High School,Male,Sales,77042,13700.0
2.5,94,147,27,19,17,20,62,28,PhD,Male,Sales,80094,34700.0
1.5,45,174,27,10,16,14,58,30,High School,Female,HR,38885,12500.0
4.3,74,234,22,5,19,24,32,14,PhD,Female,Sales,58078,10000.0
4.7,13,266,46,17,7,11,23,29,Bachelor,Female,Sales,57417,59800.0
9.0,22,219,41,12,2,19,41,27,Bachelor,Female,HR,75853,60600.0
2.7,92,159,20,18,8,7,30,28,Bachelor,Female,Sales,72393,57000.0
1.8,31,279,14,8,1,21,34,34,PhD,Female,HR,108270,15900.0
6.7,0,177,1,27,15,10,32,22,Bachelor,Male,Finance,113039,14900.0
7.0,81,293,40,13,10,24,63,2,Master,Female,IT,77306,53800.0
10.0,70,280,49,19,2,4,28,29,High School,Female,HR,82636,110500.0
2.8,30,273,33,25,4,12,22,40,PhD,Female,HR,63682,65100.0
2.2,24,89,16,21,8,0,30,37,Master,Male,Marketing,54871,43100.0
2.4,95,82,41,28,20,3,32,30,Bachelor,Female,HR,65132,73300.0
6.7,61,132,36,22,19,15,48,35,Master,Female,Finance,82365,47700.0
1.4,71,134,37,3,12,15,22,14,PhD,Female,IT,101396,26600.0
9.8,91,292,36,12,17,14,20,40,PhD,Female,Sales,42167,52900.0
4.0,49,144,3,3,9,13,64,22,High School,Female,Marketing,83067,10000.0
1.5,87,123,41,30,0,22,46,11,PhD,Female,Finance,44771,93100.0
2.5,11,293,37,14,11,2,43,6,PhD,Female,IT,53483,42300.0
8.2,24,245,26,20,13,10,45,1,PhD,Female,Marketing,85068,43600.0
3.5,99,225,16,21,12,27,44,29,Master,Female,IT,69461,33200.0
3.9,54,291,19,22,3,22,50,27,Master,Male,Finance,105822,48000.0
1.9,10,123,34,25,3,9,26,11,High School,Male,Marketing,56728,63300.0
9.4,26,270,4,13,17,3,22,35,High School,Male,Finance,73284,13100.0
7.3,36,205,26,7,2,6,55,14,Master,Male,Marketing,56619,51900.0
1.0,5,297,42,29,13,28,32,9,Master,Male,Marketing,80261,35000.0
6.8,33,142,17,4,6,22,29,38,PhD,Male,Sales,95430,12500.0
3.9,78,254,9,21,13,15,61,24,Bachelor,Female,Marketing,103138,30700.0
6.1,64,290,37,5,8,18,27,28,Master,Male,Sales,102125,41900.0
3.0,61,143,29,12,3,21,29,29,High School,Male,Finance,109362,44300.0
2.1,93,115,40,5,10,10,37,3,High School,Female,Sales,62498,49600.0
8.7,67,193,10,27,9,6,43,40,Bachelor,Male,Finance,59291,64000.0
8.6,85,97,4,6,6,1,51,39,High School,Male,Finance,80166,42700.0
5.4,80,151,34,16,20,1,38,32,PhD,Male,IT,77828,51800.0
9.6,32,242,46,27,5,12,58,10,High School,Male,HR,75329,93300.0
7.7,9,99,19,1,15,2,24,27,High School,Male,Sales,69989,10000.0
3.0,92,221,8,18,3,24,48,8,Master,Male,Marketing,114259,38600.0
4.5,5,240,31,29,4,12,63,36,PhD,Male,HR,117102,65000.0
3.4,46,299,44,22,20,2,42,37,Master,Female,Finance,52039,55600.0
6.9,79,130,23,12,6,26,42,29,Bachelor,Male,Finance,42968,40500.0
7.3,31,174,14,30,8,6,46,28,PhD,Female,HR,101765,60900.0
4.0,59,116,45,18,13,25,65,4,Bachelor,Male,Finance,99891,46700.0
1.4,40,243,20,3,12,2,21,38,Bachelor,Male,IT,82893,13300.0
8.1,64,266,24,27,1,14,33,32,High School,Male,Sales,73480,83900.0
4.1,57,109,41,12,9,24,51,8,PhD,Male,Finance,47202,42300.0
6.1,82,122,11,11,1,9,65,6,High School,Female,Sales,100861,53300.0
9.7,68,269,30,13,14,11,64,22,PhD,Female,Marketing,52151,50300.0
4.3,9,156,30,19,13,19,34,35,Master,Female,Sales,56325,24800.0
9.3,13,105,32,17,2,21,63,18,PhD,Female,Sales,57424,55000.0
8.8,11,97,7,7,4,9,33,5,Bachelor,Female,Finance,97470,21400.0
1.1,62,152,6,10,12,20,26,35,Master,Male,HR,52664,10000.0
5.8,26,90,34,25,9,25,56,6,High School,Male,Marketing,82290,47900.0
5.0,64,214,0,27,11,22,60,21,Master,Female,HR,60856,25700.0
9.7,2,80,27,20,17,25,40,35,PhD,Female,Marketing,53095,18000.0
1.9,51,201,15,15,1,19,43,35,Bachelor,Male,HR,56262,35600.0
8.0,15,298,47,3,3,24,51,6,High School,Female,Finance,89300,42000.0
9.0,0,199,44,15,7,20,21,14,High School,Male,Finance,114839,50500.0
7.6,96,87,7,12,9,6,59,14,Bachelor,Male,Finance,87444,45000.0
7.9,4,270,41,21,7,22,63,21,Master,Male,Finance,75732,53500.0
4.3,14,138,10,27,18,8,28,30,PhD,Female,HR,70969,19300.0
6.6,80,292,22,10,9,2,53,21,Bachelor,Female,HR,30029,54200.0
9.0,51,148,19,8,3,3,30,11,PhD,Female,Sales,64003,55300.0
4.2,15,155,36,30,12,16,50,32,Master,Male,HR,108514,53900.0
4.9,10,163,9,17,3,9,20,29,PhD,Male,Marketing,66988,32300.0
2.9,71,278,2,13,8,7,49,30,Bachelor,Male,HR,81483,25600.0
7.1,57,294,24,14,7,15,35,6,Bachelor,Female,Marketing,58791,47300.0
4.9,99,221,17,7,13,22,61,33,Bachelor,Female,Marketing,89747,19000.0
1.7,28,126,9,4,9,0,43,1,High School,Female,IT,50392,10000.0
4.2,97,268,42,5,7,23,20,6,High School,Female,Marketing,54242,50000.0
4.0,100,252,28,17,4,26,59,33,Bachelor,Female,IT,40784,57500.0
9.0,13,242,42,10,5,20,52,28,PhD,Male,Sales,100392,48900.0
7.4,74,248,30,26,17,20,37,36,Master,Male,Finance,49830,52000.0
8.3,7,280,48,10,18,26,33,24,High School,Male,Sales,99928,19700.0
8.3,51,90,40,25,16,24,51,11,Bachelor,Male,Sales,89076,53400.0
9.1,68,108,6,9,20,10,60,4,Bachelor,Male,HR,93128,10000.0
7.9,49,171,4,11,11,17,51,1,Master,Male,HR,35646,12000.0
6.6,63,280,33,4,1,25,35,23,Master,Male,Sales,82527,44100.0
3.0,96,290,20,23,18,4,51,8,PhD,Female,Finance,41057,49300.0
3.0,24,149,22,21,12,18,63,28,High School,Male,Marketing,51839,24700.0
5.3,98,158,45,4,19,16,44,27,Master,Male,Marketing,108225,37000.0
6.6,16,295,36,23,12,10,23,37,Master,Male,IT,114335,54500.0
9.3,60,189,44,6,7,21,34,29,PhD,Female,HR,90246,54600.0
5.4,63,95,46,15,12,11,48,37,Master,Female,Finance,51816,63200.0
7.4,17,295,48,10,13,18,46,13,High School,Female,Marketing,76033,38900.0
8.5,14,189,45,14,14,27,55,14,High School,Female,Sales,42283,32200.0
4.5,39,163,38,17,4,5,60,23,PhD,Female,Sales,34866,71200.0
1.3,54,218,37,29,12,17,64,40,PhD,Male,Sales,62842,58300.0
2.6,99,229,25,1,17,14,24,12,PhD,Female,HR,86112,13400.0
9.9,85,244,27,22,18,14,61,29,High School,Male,Marketing,84478,55300.0
8.1,14,235,18,13,7,9,26,40,PhD,Female,IT,64133,34900.0
4.2,32,176,34,20,11,10,60,9,PhD,Female,Finance,94546,50000.0
6.0,31,181,43,25,17,7,47,39,Master,Male,Sales,57755,60800.0
2.0,7,142,16,3,5,28,38,28,High School,Male,Sales,48429,10000.0
5.2,22,293,1,4,14,16,30,33,PhD,Female,HR,53276,10000.0
3.7,48,275,20,14,6,27,44,15,High School,Male,Sales,37987,23800.0
4.7,98,114,19,15,10,16,58,10,Bachelor,Male,Marketing,118828,44300.0
2.7,48,231,9,28,19,25,47,19,Master,Male,Marketing,30920,10000.0
9.6,19,293,14,29,10,21,59,1,High School,Male,Sales,87317,41400.0
1.1,5,170,14,0,20,23,43,1,Master,Male,IT,86699,10000.0
9.9,25,155,39,23,8,21,51,13,High School,Female,Finance,30694,63800.0
5.2,95,248,19,2,16,22,24,2,PhD,Female,Marketing,66926,10000.0
4.8,13,157,19,15,15,0,31,5,High School,Female,Marketing,89547,25000.0
8.2,64,121,16,22,13,2,34,21,PhD,Male,Marketing,96021,56600.0
6.4,12,196,40,10,1,15,27,17,Master,Female,Finance,67495,54400.0
2.5,26,227,22,4,3,13,40,26,Bachelor,Male,IT,49719,21800.0
5.5,98,139,48,16,14,11,59,20,Master,Male,Finance,33891,73400.0
7.2,51,217,0,11,1,24,64,1,Bachelor,Male,Sales,117646,20200.0
6.7,10,165,15,16,8,4,53,3,Bachelor,Male,IT,43492,35400.0
1.9,20,202,13,21,17,15,60,28,High School,Male,Sales,63197,10000.0
4.4,3,254,6,0,9,28,44,10,PhD,Male,HR,106539,10000.0
3.4,16,157,26,14,16,3,60,37,Bachelor,Female,Sales,91089,23600.0
8.2,28,273,8,0,8,21,27,37,Bachelor,Female,HR,41535,10000.0
7.6,32,199,38,18,7,28,45,33,Master,Male,HR,73306,47800.0
5.5,61,80,6,11,8,13,21,20,Master,Male,Marketing,111987,22800.0
8.0,78,91,12,6,3,26,42,2,PhD,Female,Finance,70199,28400.0
6.8,26,179,31,5,10,20,51,30,PhD,Male,Finance,67594,19900.0
9.2,61,286,50,26,10,0,27,3,Bachelor,Female,IT,49686,105700.0
4.3,49,162,25,19,0,20,63,23,Bachelor,Male,Sales,74884,56800.0
1.1,61,156,9,7,16,28,43,7,Bachelor,Female,IT,62408,10000.0
7.1,90,135,36,4,17,18,36,9,High School,Male,Finance,110990,31200.0
9.1,31,170,36,0,7,14,21,7,PhD,Female,Marketing,114485,35500.0
5.7,16,164,27,14,1,0,36,31,High School,Female,HR,89740,62200.0
3.8,22,205,26,18,20,20,44,29,Bachelor,Male,Sales,94652,10000.0
3.4,63,186,20,17,16,9,30,1,Bachelor,Female,Marketing,46896,30200.0
4.2,49,161,37,12,6,7,49,6,Bachelor,Female,HR,65593,59100.0
4.2,71,296,48,30,19,7,57,28,High School,Female,Finance,37918,77700.0
3.2,65,279,8,22,17,9,48,16,PhD,Female,Sales,98698,23900.0
9.7,89,122,28,27,17,28,58,8,Bachelor,Male,Marketing,44933,52600.0
2.6,55,265,18,14,8,5,55,30,Bachelor,Male,Marketing,50583,39700.0
3.0,56,274,27,9,16,28,64,3,High School,Male,IT,99886,10000.0
7.1,30,299,10,6,19,9,45,4,PhD,Male,Sales,110984,10000.0
7.3,6,133,25,30,12,1,22,40,PhD,Female,IT,112765,61400.0
3.1,79,255,1,5,9,5,52,27,Master,Female,IT,79450,15400.0
9.4,64,229,37,27,5,22,60,9,Bachelor,Male,Finance,115079,83500.0
9.1,56,245,2,7,16,13,60,30,Bachelor,Male,Sales,43791,10000.0
9.5,69,192,12,0,7,16,52,29,Bachelor,Female,HR,83010,21700.0
4.8,46,293,37,16,6,23,56,31,Master,Male,Marketing,80152,49400.0
3.4,8,163,26,28,2,1,53,31,Master,Female,Sales,50694,72200.0
4.3,20,112,6,8,20,13,36,4,High School,Female,IT,107620,10000.0
5.5,63,124,43,14,8,15,28,17,Bachelor,Male,Finance,111492,62900.0
7.9,68,238,16,12,13,26,55,2,Bachelor,Male,Marketing,118278,18200.0
5.2,11,212,14,23,2,2,40,18,PhD,Female,IT,46861,56200.0
5.4,97,148,6,12,10,16,49,22,High School,Male,Finance,71916,27900.0
3.1,66,200,13,16,13,10,23,4,High School,Male,Marketing,73584,27000.0
1.0,8,124,12,2,2,28,36,16,High School,Male,Sales,87821,10000.0
6.1,23,231,15,16,13,28,28,7,PhD,Male,Sales,59114,10000.0
6.5,27,193,8,25,5,3,30,7,High School,Male,HR,63374,53600.0
6.1,28,106,2,30,4,15,44,38,Master,Female,Sales,37374,44600.0
9.9,91,109,27,0,14,13,46,27,Master,Female,HR,49517,33100.0
6.1,43,105,19,25,15,23,34,14,High School,Male,Marketing,54441,28600.0
9.2,34,214,21,25,18,10,38,1,Master,Male,Finance,97102,41100.0
1.1,71,166,37,29,7,18,51,15,PhD,Male,Sales,48103,72000.0
1.7,34,105,21,22,7,18,65,21,PhD,Female,Marketing,64466,35600.0
7.3,94,188,22,5,4,28,36,17,Master,Male,IT,85384,36300.0
9.5,61,273,7,18,17,21,41,19,Bachelor,Female,Sales,84875,16300.0
2.2,67,291,44,18,6,20,22,31,Master,Female,Finance,55762,63500.0
8.6,59,142,40,22,0,2,21,21,PhD,Male,HR,93804,105900.0
5.4,48,136,20,2,11,3,35,26,PhD,Female,HR,54731,23200.0
4.3,78,267,35,8,9,7,30,18,High School,Female,Finance,77510,54000.0
4.5,68,109,44,23,11,21,42,1,Master,Female,Finance,84819,64900.0
6.0,83,243,50,24,12,21,33,40,High School,Female,Finance,53007,77900.0
1.1,10,193,17,17,18,17,47,5,Master,Male,HR,117554,10000.0
1.8,60,113,19,7,11,8,33,34,Bachelor,Female,IT,47900,21100.0
2.4,58,230,49,24,7,13,64,4,High School,Male,Finance,98651,80200.0
8.3,75,220,28,26,18,1,29,21,PhD,Female,Marketing,63339,69100.0
3.3,79,218,22,14,12,18,30,37,Master,Female,Marketing,61463,31300.0
9.4,45,280,28,7,18,11,64,4,Master,Male,Marketing,110022,23800.0
8.3,73,245,21,26,1,13,33,26,Bachelor,Male,Sales,85802,83500.0
3.7,86,282,4,20,17,7,22,9,High School,Female,Sales,89841,26200.0
7.7,51,119,40,25,11,10,21,0,Bachelor,Female,HR,89259,76200.0
9.5,77,268,46,0,19,2,57,40,High School,Male,HR,65749,48100.0
9.8,42,282,42,25,0,28,64,24,High School,Female,Marketing,118837,83700.0
9.3,58,212,48,6,1,9,28,39,Bachelor,Male,IT,45334,82000.0
5.6,46,131,41,26,8,13,41,17,PhD,Male,Marketing,75047,76000.0
3.1,15,82,24,0,20,26,53,2,High School,Female,Marketing,94662,10000.0
4.8,84,165,2,17,14,23,24,25,PhD,Male,Marketing,69716,11300.0
2.6,36,131,7,19,7,1,32,27,PhD,Male,Finance,66143,36500.0
3.9,29,197,8,8,1,6,64,4,Bachelor,Female,HR,78837,28500.0
4.2,7,266,18,4,15,22,24,9,PhD,Female,IT,33631,10000.0
5.8,92,175,5,14,5,20,41,31,Bachelor,Female,Marketing,111709,35200.0
6.8,93,276,22,3,12,28,27,34,High School,Female,Sales,67146,16000.0
2.5,76,174,17,21,17,27,46,37,High School,Female,IT,97009,15300.0
9.6,56,253,11,17,9,6,56,24,Bachelor,Male,Finance,67737,48500.0
3.7,38,247,46,4,16,4,40,24,High School,Female,Marketing,88947,34800.0
