Оценка выполненной работы руководителем,Факт выполнения плана (%),Количество часов работы,Число продаж страхований авто,Число продаж страхований имущества,Число дней больничного,Число дней отпуска,Премия
7.0,13,298,39,3,11,28,11400.0
6.7,4,110,4,15,11,7,12100.0
4.3,66,272,45,7,19,1,44900.0
4.6,98,93,13,9,20,19,10000.0
2.1,9,93,28,16,6,21,25900.0
1.2,2,120,26,14,1,11,37000.0
9.7,35,258,36,25,12,2,77400.0
1.1,16,300,39,15,1,18,48500.0
4.7,70,133,45,26,12,21,69400.0
9.9,35,253,0,5,2,26,10000.0
4.9,52,126,0,27,20,10,15900.0
5.3,67,259,31,23,2,18,74200.0
3.4,17,85,4,6,1,16,10000.0
4.2,69,169,17,22,4,18,53100.0
6.8,37,276,23,30,18,14,42700.0
5.4,39,251,14,5,9,10,16000.0
2.1,22,126,26,26,13,18,31800.0
3.3,29,237,32,14,14,12,28300.0
7.9,63,155,0,7,9,16,11200.0
6.1,65,256,3,28,17,6,36700.0
9.2,15,101,9,12,11,7,20900.0
2.2,59,239,46,12,5,3,73100.0
4.4,74,242,49,13,18,21,42500.0
3.6,84,208,36,18,18,4,55400.0
1.8,36,129,47,26,8,20,64400.0
2.2,8,280,8,0,18,27,10000.0
3.2,27,261,10,17,7,24,12000.0
9.4,1,156,20,3,9,5,20600.0
9.2,58,125,18,11,19,9,23300.0
2.0,36,115,1,15,18,5,10000.0
7.9,87,242,21,11,2,4,71400.0
6.6,12,122,44,23,7,5,76300.0
5.8,71,179,1,5,10,1,20400.0
9.1,28,183,39,11,4,13,61100.0
5.8,39,169,27,25,8,3,68800.0
8.2,20,200,3,27,20,18,10000.0
7.1,55,115,25,27,18,25,35200.0
9.9,76,244,17,28,8,25,60600.0
7.7,36,136,42,2,10,2,49200.0
5.7,53,177,33,7,16,12,26800.0
2.9,85,295,35,14,1,14,71300.0
6.9,74,148,45,22,14,21,65000.0
9.2,38,178,1,24,16,27,10000.0
6.9,58,221,8,5,12,13,10000.0
9.9,10,199,12,16,0,14,44800.0
7.3,86,270,19,4,13,5,34400.0
2.1,24,249,34,30,16,6,52400.0
1.6,46,185,11,7,3,3,29500.0
3.6,5,279,28,5,4,0,36200.0
3.0,99,246,11,16,2,0,66700.0
8.8,0,131,6,14,13,14,10000.0
8.8,15,170,34,15,13,24,28600.0
1.7,20,129,39,18,1,6,67400.0
3.1,40,182,14,15,10,17,17700.0
1.1,2,235,36,28,18,16,28800.0
8.8,14,275,3,16,7,17,17800.0
6.2,92,200,14,2,16,10,15000.0
6.8,8,195,37,2,11,10,24000.0
5.1,74,205,28,27,16,9,59900.0
5.6,93,290,35,18,1,9,90100.0
5.4,98,295,47,23,0,4,117700.0
4.0,15,188,17,2,1,3,27500.0
5.7,35,207,3,2,7,18,10000.0
1.9,37,117,10,11,9,10,13400.0
1.4,70,210,46,18,2,3,89800.0
7.5,52,170,8,28,12,8,48600.0
3.4,83,246,45,26,8,28,71700.0
9.9,31,233,33,11,2,14,60600.0
4.4,65,242,25,8,19,11,16300.0
1.9,15,264,8,8,17,15,10000.0
1.8,45,278,28,22,16,12,34100.0
4.9,9,98,30,26,15,25,26500.0
8.6,63,173,35,27,8,0,95600.0
9.2,75,190,28,15,15,21,40400.0
6.7,86,173,49,28,14,25,77200.0
6.9,51,80,25,23,13,22,40600.0
1.1,0,197,44,27,5,22,54700.0
1.2,15,170,44,23,7,1,70400.0
2.6,1,101,9,12,12,22,10000.0
1.8,0,190,0,8,20,3,10000.0
5.3,58,220,28,5,8,9,38500.0
4.2,65,279,6,2,9,7,11900.0
6.6,48,273,35,8,0,10,64600.0
7.6,67,170,19,11,7,23,33800.0
5.1,57,227,32,14,4,22,50300.0
3.1,18,92,4,25,11,5,26100.0
8.8,96,90,9,18,16,17,33400.0
1.4,27,102,23,5,5,20,11400.0
2.5,99,128,41,16,9,9,72700.0
3.6,46,217,35,28,4,19,71000.0
2.6,47,268,42,24,12,2,71300.0
8.5,47,287,0,25,15,9,29600.0
4.9,56,170,14,3,4,17,20100.0
6.5,14,105,50,26,1,3,101200.0
8.1,57,113,31,25,11,14,65800.0
7.7,85,276,3,15,18,13,17400.0
6.9,86,209,23,18,10,28,41600.0
4.8,85,145,20,7,7,24,27600.0
9.8,95,108,33,2,12,10,50100.0
1.7,12,99,23,1,12,27,10000.0
9.6,35,237,22,16,16,24,19700.0
1.4,24,138,26,18,12,19,20000.0
6.5,32,93,19,19,17,22,14100.0
8.7,100,229,17,14,18,27,22400.0
4.8,91,236,23,29,18,28,39400.0
1.4,3,261,30,1,7,20,10000.0
6.2,79,146,14,19,1,27,49600.0
1.3,35,89,3,29,17,1,24600.0
2.7,40,291,6,29,6,9,45900.0
3.8,31,165,36,29,2,28,64400.0
5.2,17,169,46,7,13,15,31000.0
3.9,81,275,10,13,12,8,29600.0
8.5,71,281,33,14,1,2,88300.0
1.1,35,191,2,6,2,12,10000.0
7.8,67,300,48,2,13,1,59700.0
1.3,21,271,40,3,8,20,17400.0
8.5,51,290,9,4,6,15,20300.0
2.7,19,264,23,26,6,5,56100.0
9.6,46,277,44,12,9,26,51000.0
3.7,58,187,41,26,11,14,68800.0
3.9,29,164,19,20,10,22,23500.0
5.2,24,230,12,25,10,3,44100.0
7.0,84,134,49,6,1,1,94200.0
3.8,57,299,1,2,6,9,10000.0
4.2,54,98,44,23,4,6,89100.0
4.2,13,109,36,5,10,18,17800.0
9.0,14,204,8,28,2,15,53200.0
7.5,56,115,12,14,12,15,25800.0
8.6,1,207,20,9,3,1,44000.0
6.3,16,168,30,24,12,5,54400.0
9.4,82,144,50,26,5,13,109400.0
2.6,38,103,44,27,17,26,41100.0
9.1,93,95,29,27,11,0,93600.0
8.0,42,251,15,10,0,4,54600.0
1.3,70,179,46,19,0,26,72100.0
6.9,76,117,43,7,4,25,57100.0
3.8,85,243,27,16,13,23,35100.0
8.9,7,253,50,28,19,20,53900.0
8.1,100,244,21,25,6,7,85700.0
2.2,6,196,36,25,11,27,30700.0
2.7,60,240,3,29,3,4,59900.0
7.3,86,295,47,1,18,4,48900.0
6.6,78,267,50,22,19,25,56600.0
8.1,54,274,44,21,20,15,52900.0
9.3,49,108,7,1,15,1,10800.0
7.6,97,206,18,22,9,17,60300.0
5.1,70,119,15,27,2,18,64700.0
5.4,38,220,28,24,19,23,25200.0
7.6,49,102,31,6,4,19,42900.0
7.4,50,197,41,3,10,13,42300.0
1.6,4,140,42,22,20,7,32400.0
4.5,33,196,20,5,13,13,10000.0
3.9,88,277,12,7,1,16,38700.0
1.8,19,113,47,30,15,9,62300.0
3.5,93,260,0,17,8,27,17400.0
2.7,10,231,24,14,20,2,11400.0
6.0,92,121,2,26,11,2,56600.0
1.1,77,125,29,28,17,9,53300.0
3.8,88,115,15,6,1,16,40000.0
1.5,12,282,48,2,20,6,11600.0
3.0,90,169,14,11,7,8,41500.0
2.3,45,293,35,25,14,27,35600.0
9.9,32,213,28,17,3,12,64900.0
3.8,25,144,49,6,13,23,24100.0
6.2,11,198,1,21,6,7,29200.0
5.9,49,118,39,20,7,16,65500.0
8.7,51,147,0,27,11,7,44200.0
6.2,44,253,20,20,20,24,11600.0
3.2,84,214,17,27,11,5,62100.0
4.3,15,207,46,13,7,1,63600.0
8.1,49,202,31,18,5,8,70900.0
1.3,15,245,5,7,17,9,10000.0
6.2,20,137,33,16,4,12,55400.0
9.0,16,242,1,12,3,16,19800.0
9.6,60,199,38,7,13,2,57700.0
5.0,40,239,22,30,6,13,64000.0
8.7,20,199,10,20,9,20,25400.0
1.3,71,114,13,17,6,26,24400.0
6.2,86,199,38,24,11,10,80200.0
6.4,37,180,10,8,19,23,10000.0
4.3,66,283,3,4,14,21,10000.0
9.5,56,123,5,17,19,3,25300.0
4.8,19,133,41,1,12,24,10000.0
5.0,10,88,4,13,2,19,13500.0
1.5,13,196,20,13,1,26,18400.0
7.0,8,275,49,17,16,0,58900.0
4.9,85,156,49,3,17,18,36800.0
4.7,84,131,37,30,1,6,108600.0
3.4,62,220,48,2,12,15,37400.0
6.2,67,204,21,24,1,24,63500.0
2.0,95,237,46,5,4,8,70000.0
1.8,23,227,50,26,20,7,52500.0
3.1,13,100,46,30,0,10,91100.0
5.2,38,171,39,21,19,24,30300.0
6.3,1,131,3,18,14,0,14900.0
6.8,21,137,29,21,17,20,26400.0
1.9,77,100,28,7,8,12,37400.0
4.2,35,96,48,0,17,17,15900.0
3.5,94,288,14,21,14,25,27700.0
4.5,54,294,33,24,16,6,56200.0
4.1,98,224,22,11,20,22,14100.0
6.2,20,179,45,6,19,1,33400.0
2.2,68,138,28,17,15,18,30300.0
3.9,47,238,15,3,10,0,21400.0
8.8,38,265,35,24,0,1,99000.0
5.6,33,288,47,18,0,8,87100.0
1.5,81,238,37,16,4,9,71300.0
7.5,46,147,31,13,14,17,34300.0
5.4,83,292,31,10,8,17,48700.0
6.5,1,104,28,25,20,5,33800.0
9.3,5,97,33,18,18,25,19100.0
6.8,93,269,6,21,8,21,42000.0
4.8,29,281,33,30,17,25,37300.0
4.8,79,268,21,6,2,11,48300.0
2.3,22,273,39,8,10,16,26200.0
4.1,7,171,22,28,8,26,32300.0
6.7,73,101,49,15,18,3,67800.0
5.6,54,193,17,8,13,18,12400.0
1.5,14,217,17,0,10,2,10000.0
5.3,33,168,20,13,6,8,40000.0
5.3,50,189,3,29,19,21,13100.0
7.9,37,174,41,20,7,4,79900.0
6.4,18,256,23,17,0,5,61700.0
9.4,100,210,10,10,9,26,29800.0
2.6,4,199,17,17,10,13,15900.0
5.8,32,282,17,24,17,6,34200.0
4.7,57,198,24,12,14,13,27500.0
7.9,74,171,34,29,12,2,89500.0
4.0,84,101,37,22,8,4,83200.0
6.3,81,255,0,3,8,21,10000.0
6.1,58,103,47,27,15,25,62100.0
3.0,19,162,50,11,6,19,47200.0
5.1,34,231,0,24,16,28,10000.0
5.9,47,279,25,25,12,28,36400.0
6.2,18,83,0,16,2,1,36800.0
9.1,64,156,36,25,16,9,69900.0
4.7,42,127,16,8,15,26,10000.0
4.4,78,288,9,8,7,16,23200.0
6.4,60,151,44,6,12,24,35800.0
8.4,3,240,26,19,18,21,15200.0
9.0,6,94,4,13,6,28,10000.0
5.6,73,289,35,17,10,15,58600.0
6.7,1,153,47,16,1,1,81700.0
4.1,21,209,17,8,15,0,13500.0
6.3,15,191,3,26,4,24,27100.0
3.0,28,130,43,4,15,7,26400.0
8.8,97,235,24,18,12,18,55700.0
1.4,96,237,42,6,11,14,46600.0
1.1,14,130,26,0,8,3,13400.0
1.8,41,207,41,7,20,26,10000.0
3.3,24,287,18,25,13,16,27300.0
2.5,81,161,22,14,9,2,52300.0
6.5,52,141,46,2,4,8,61600.0
4.5,28,171,28,17,4,4,58900.0
1.2,75,98,45,9,11,26,35400.0
1.9,18,215,27,20,1,2,62200.0
5.9,63,128,15,3,16,4,14200.0
1.7,96,149,38,1,4,26,37700.0
8.5,62,237,33,1,12,17,29100.0
5.9,18,227,23,17,18,22,10000.0
9.6,54,103,32,12,6,26,47400.0
3.6,41,105,9,15,18,19,10000.0
5.8,86,265,2,15,8,13,32900.0
5.1,5,275,15,21,18,5,17200.0
8.8,69,127,29,13,1,2,82800.0
3.0,47,282,36,9,8,18,35600.0
9.3,72,244,39,21,6,0,98700.0
6.2,25,229,5,5,14,15,10000.0
9.2,62,272,29,4,16,27,13000.0
2.0,30,142,35,28,12,3,63000.0
3.1,4,104,24,8,17,11,10000.0
8.8,60,104,21,27,8,4,77100.0
1.8,71,165,49,21,19,16,51400.0
2.3,2,98,4,9,4,8,10000.0
7.2,53,248,18,0,5,15,23300.0
6.5,41,267,41,15,14,6,54800.0
2.2,5,290,22,8,3,16,17900.0
6.3,51,122,27,12,19,3,31900.0
3.3,24,105,31,15,5,8,49300.0
3.1,92,208,11,16,0,14,54800.0
10.0,59,295,13,26,20,9,40700.0
2.8,78,213,3,14,7,21,18000.0
2.0,0,97,16,7,10,22,10000.0
7.4,60,104,0,6,17,21,10000.0
1.3,72,186,0,11,17,9,10000.0
5.1,74,141,42,5,16,10,39900.0
3.4,17,252,4,30,3,1,53900.0
5.3,79,90,33,23,15,13,58800.0
6.7,58,222,8,17,10,24,20300.0
9.3,27,102,34,18,6,2,73700.0
2.9,40,108,22,0,8,12,11800.0
4.1,78,120,46,5,16,3,50100.0
2.7,96,92,35,20,18,24,39200.0
7.9,1,298,31,4,3,21,26100.0
4.4,70,205,7,12,10,4,30800.0
9.4,22,114,29,29,20,17,40900.0
1.7,79,190,14,23,2,5,66600.0
1.4,2,270,9,3,19,24,10000.0
6.5,40,148,39,2,20,11,16000.0
7.6,71,221,5,30,5,9,67500.0
4.8,50,265,5,12,20,12,10000.0
7.1,47,124,50,25,8,19,80800.0
4.4,54,190,28,29,17,16,46500.0
8.1,19,300,5,15,7,27,10000.0
8.8,42,155,41,16,3,26,63200.0
3.7,6,119,14,14,17,0,10200.0
6.3,27,80,11,1,10,25,10000.0
2.3,80,131,14,26,20,24,17600.0
1.4,28,201,15,15,3,21,21700.0
1.2,64,191,30,2,20,3,11600.0
8.8,31,142,10,11,15,24,10000.0
3.8,79,125,28,3,20,4,19800.0
3.5,51,233,3,21,12,13,19800.0
9.2,62,278,1,26,20,12,25000.0
6.0,84,229,37,9,0,17,70700.0
2.7,54,155,40,21,8,3,74100.0
2.6,53,249,0,4,18,22,10000.0
2.4,34,188,12,6,9,27,10000.0
1.3,90,137,15,17,15,28,12100.0
3.1,34,222,3,5,15,1,10000.0
8.3,52,154,33,3,16,6,31700.0
5.7,28,196,14,3,20,18,10000.0
7.9,33,239,35,19,19,28,23200.0
9.0,46,145,39,4,17,20,22800.0
1.5,44,208,44,19,7,24,50700.0
2.6,97,217,0,26,14,18,27300.0
7.9,83,240,37,28,8,4,99700.0
9.3,72,200,31,5,10,2,56700.0
1.9,34,108,4,19,8,0,30500.0
9.4,68,252,3,11,2,14,40700.0
2.9,94,233,29,2,4,17,41000.0
7.6,77,117,33,21,0,10,92800.0
1.5,89,182,43,18,16,25,42700.0
8.9,89,136,37,12,6,12,75500.0
6.8,19,232,29,24,1,17,65300.0
9.5,17,262,46,7,17,28,18600.0
3.3,66,291,7,13,11,8,22900.0
3.6,16,104,1,6,20,24,10000.0
1.1,50,139,33,16,6,3,59200.0
9.3,67,161,31,15,0,20,72200.0
4.5,63,277,31,30,11,5,76900.0
4.3,70,131,37,14,13,11,50600.0
6.4,93,228,8,11,0,4,61200.0
1.8,31,296,39,3,4,21,27400.0
8.0,67,204,19,30,7,11,75100.0
7.9,20,262,2,22,11,15,19800.0
2.3,8,179,29,14,9,20,19000.0
3.0,25,107,20,4,19,3,10000.0
2.8,24,233,50,3,17,12,21300.0
5.7,36,283,9,18,12,18,16200.0
7.2,0,294,12,3,10,9,10000.0
1.6,26,203,36,26,18,21,29000.0
6.9,70,205,8,0,0,0,42800.0
1.7,85,263,48,24,15,9,73900.0
4.0,10,118,45,27,6,21,63500.0
9.4,9,273,31,14,19,21,14500.0
3.4,65,85,23,29,11,19,51800.0
4.9,86,285,12,2,1,28,20600.0
1.7,69,163,39,13,11,8,52600.0
4.2,71,161,28,7,0,26,42200.0
7.4,81,208,18,21,15,14,44600.0
4.9,20,223,3,17,8,16,12300.0
1.2,94,92,32,4,6,9,47600.0
8.2,56,113,3,9,12,26,10000.0
9.2,72,98,6,28,3,2,80000.0
4.2,4,205,38,28,15,6,53600.0
7.0,51,166,6,17,19,23,10000.0
9.3,94,235,17,21,17,3,58300.0
1.0,30,85,27,8,13,12,12000.0
4.9,51,120,48,1,14,25,21600.0
2.0,74,148,39,23,8,3,80700.0
7.2,66,85,46,25,3,13,98700.0
3.1,63,230,3,29,4,1,62600.0
2.3,67,253,27,23,2,18,64200.0
5.5,24,263,11,18,0,15,41200.0
7.2,93,177,14,29,0,26,73800.0
4.0,92,277,43,13,8,11,71100.0
8.9,76,209,4,5,17,7,11100.0
6.7,31,124,4,8,10,12,10000.0
5.5,36,193,28,30,3,1,87800.0
4.5,47,256,28,19,5,21,48600.0
4.6,34,264,45,27,4,16,80900.0
5.2,85,184,35,27,19,17,56400.0
1.5,61,196,8,23,16,3,28800.0
9.3,5,208,5,29,20,4,24600.0
3.0,39,171,38,23,16,26,32200.0
3.5,34,296,23,25,17,6,37700.0
7.7,46,102,12,23,17,19,22700.0
8.5,15,112,50,16,7,1,80500.0
2.8,27,133,37,28,14,6,58700.0
1.5,3,140,28,7,9,17,10000.0
6.0,94,160,23,28,5,9,86200.0
1.1,53,162,29,4,16,17,10000.0
8.8,85,271,3,17,0,17,54600.0
3.4,64,166,41,13,18,5,45500.0
3.4,4,270,48,11,18,19,17500.0
9.7,48,248,2,3,20,8,10000.0
2.9,2,263,44,22,16,10,41400.0
8.8,19,165,14,26,9,16,42300.0
5.0,9,276,23,11,9,15,19200.0
9.7,50,106,13,11,3,18,39900.0
6.0,93,272,23,6,9,0,53900.0
9.2,20,195,47,3,10,13,42900.0
7.7,40,173,7,24,1,28,40400.0
1.9,67,197,13,26,14,13,34900.0
6.4,12,183,16,17,15,4,23900.0
7.4,97,227,20,14,14,8,48900.0
5.1,30,297,12,19,16,2,25700.0
7.3,72,105,20,7,15,10,26700.0
8.9,10,237,15,3,15,13,10000.0
9.7,27,113,42,3,10,2,52000.0
8.1,14,192,1,17,3,16,24900.0
3.1,68,191,15,15,9,28,18100.0
8.3,78,171,30,29,2,0,109500.0
8.3,100,297,8,25,6,23,57100.0
3.9,95,273,6,26,10,21,40300.0
9.2,0,98,0,19,16,10,10000.0
5.9,70,99,35,8,15,4,45800.0
1.3,77,202,9,1,3,3,27200.0
1.2,45,117,12,16,14,9,14900.0
3.5,71,174,36,7,6,27,35800.0
7.6,55,155,9,13,2,25,31200.0
3.4,66,277,49,4,10,15,46600.0
7.9,73,193,29,0,16,7,27700.0
4.2,71,168,48,20,0,7,100700.0
2.5,85,139,5,9,14,8,13000.0
5.5,91,124,40,0,20,20,18300.0
3.5,37,286,24,12,2,21,35100.0
2.4,81,225,45,30,3,9,104100.0
7.5,27,185,2,19,8,9,28600.0
7.2,58,180,12,9,7,20,23300.0
9.4,94,217,49,18,10,19,84000.0
7.3,95,167,18,29,17,24,46600.0
2.0,16,108,35,18,2,17,49800.0
2.6,44,94,9,30,15,20,22400.0
8.3,78,88,6,14,7,28,25000.0
3.2,31,80,36,19,20,4,36200.0
3.0,58,272,23,26,18,2,47400.0
4.1,14,138,34,14,14,14,25400.0
8.1,16,253,26,22,0,24,56000.0
9.5,27,110,33,19,0,14,74600.0
1.7,28,198,22,15,14,3,25300.0
4.6,55,193,23,17,5,28,36200.0
6.2,95,142,17,28,10,7,72900.0
9.2,34,135,31,15,5,5,67100.0
1.3,92,93,47,4,20,8,35200.0
6.9,16,94,22,29,11,17,45100.0
1.1,57,138,18,3,11,27,10000.0
3.1,96,96,0,18,5,13,39000.0
3.1,10,208,22,19,14,8,23700.0
3.2,21,191,40,0,4,26,18700.0
8.5,44,119,44,19,20,8,54700.0
9.2,67,168,27,0,20,5,20500.0
4.1,51,267,29,30,17,22,41500.0
1.8,67,93,31,12,1,20,50700.0
7.3,24,258,3,7,6,25,10000.0
2.2,92,270,4,23,5,24,36500.0
2.1,80,95,8,25,20,25,10000.0
2.6,34,165,42,25,10,14,60900.0
9.1,98,159,13,1,20,0,22100.0
8.9,10,87,0,10,18,3,10000.0
8.6,10,184,49,0,7,23,32200.0
3.6,19,87,38,28,15,20,42900.0
4.7,78,228,15,14,18,11,21800.0
5.9,23,190,13,12,0,10,39700.0
3.1,8,83,2,12,14,27,10000.0
6.3,14,137,30,8,16,2,24800.0
1.4,2,145,27,18,6,17,28400.0
6.4,88,107,30,0,12,22,23200.0
2.9,58,188,6,6,16,14,10000.0
3.8,69,180,4,17,7,14,29800.0
2.1,27,264,43,5,7,19,29800.0
3.3,71,129,15,24,9,14,46900.0
6.4,3,89,40,23,11,5,61200.0
7.1,94,162,16,2,9,10,33400.0
5.6,50,222,8,12,2,23,25200.0
8.5,98,115,11,4,9,11,34400.0
3.7,20,180,19,5,12,8,10000.0
9.4,59,266,14,7,7,21,26000.0
4.1,49,222,49,18,8,20,62900.0
9.3,13,211,28,3,11,19,14000.0
8.6,26,257,22,23,9,26,37500.0
2.0,37,204,16,24,9,15,34100.0
9.8,51,118,27,25,8,8,75400.0
2.7,18,90,23,15,4,20,28300.0
8.1,33,257,13,5,15,8,10000.0
5.6,97,140,22,29,18,16,53800.0
7.4,29,138,41,28,16,0,74500.0
8.2,29,129,12,14,0,3,55100.0
3.1,57,287,50,21,6,23,69800.0
5.6,37,194,43,11,8,10,55800.0
3.0,73,189,45,14,6,28,53900.0
7.9,6,282,34,8,12,20,19600.0
3.3,57,139,18,21,10,11,42200.0
3.9,9,112,39,12,18,26,10000.0
7.5,72,285,6,18,6,1,56600.0
5.6,32,249,42,2,10,14,31800.0
8.3,95,297,37,3,17,2,50600.0
3.7,22,256,1,8,18,6,10000.0
3.3,54,122,50,17,16,15,51300.0
7.4,22,296,40,21,16,26,34900.0
9.7,30,255,4,28,14,22,24400.0
3.8,74,134,13,18,1,6,61800.0
1.4,9,295,8,14,1,27,10000.0
7.0,57,289,49,27,0,22,98600.0
8.5,29,270,39,30,13,7,76700.0
3.5,36,100,32,26,12,19,45800.0
5.4,53,259,24,6,13,11,22700.0
8.8,5,92,19,11,14,17,10000.0
8.9,72,159,37,17,13,12,63900.0
6.9,21,143,36,9,2,12,53600.0
9.9,50,166,50,13,7,22,68300.0
9.4,78,298,22,27,18,3,65700.0
7.0,79,258,35,24,2,0,104700.0
1.9,87,258,10,7,18,2,12400.0
6.5,32,236,3,15,11,1,25100.0
7.9,75,149,12,9,14,22,13800.0
6.9,44,90,19,17,20,28,10000.0
3.9,57,114,20,27,6,9,64400.0
9.3,45,212,21,9,6,16,38600.0
6.9,72,274,38,27,19,18,57900.0
2.0,70,116,24,20,15,24,25000.0
6.6,87,176,44,14,11,4,78300.0
9.5,19,103,27,6,12,6,30700.0
2.9,30,163,25,5,16,25,10000.0
9.7,91,104,2,8,4,4,48700.0
7.5,8,215,0,18,18,22,10000.0
1.2,0,163,48,24,6,15,59400.0
2.6,27,115,30,17,6,1,55800.0
6.7,81,246,43,14,12,3,74700.0
4.8,92,204,13,28,5,9,73200.0
5.1,84,233,3,30,14,7,48400.0
5.1,36,283,0,5,5,18,10000.0
8.8,59,231,49,12,14,14,60300.0
7.7,85,193,24,5,1,15,55400.0
6.2,95,286,42,3,14,20,39400.0
8.5,64,176,47,25,5,16,94700.0
8.6,89,220,31,18,7,11,76900.0
6.6,1,106,21,26,10,13,40500.0
9.8,60,235,3,21,1,15,55100.0
2.7,94,176,13,7,3,14,37100.0
6.8,30,193,15,7,12,22,10000.0
6.6,5,205,14,24,8,0,48700.0
3.6,33,218,32,21,5,28,42600.0
4.7,27,137,26,1,8,25,10000.0
5.4,2,202,30,21,1,24,46900.0
4.6,84,299,37,30,13,4,86400.0
7.1,60,142,47,10,1,20,72200.0
1.7,49,190,18,20,2,12,50100.0
9.3,100,133,33,29,19,20,67100.0
5.6,82,130,42,26,12,23,69800.0
6.8,16,201,8,4,9,7,10000.0
9.4,17,260,23,14,1,7,58900.0
5.2,97,215,3,12,17,14,12500.0
9.5,73,146,42,19,13,14,71400.0
2.7,69,298,5,12,0,28,21100.0
7.8,22,129,24,19,12,10,40700.0
2.3,83,83,3,0,3,25,10000.0
5.8,22,265,46,4,8,27,27200.0
8.2,20,130,9,16,12,3,28400.0
9.8,81,197,8,2,10,9,25900.0
